year,age_range,male,female,total
2019,0-4,388,351,739
2019,5-9,361,378,739
2019,10-14,431,342,773
2019,15-19,556,543,1099
2019,20-24,786,646,1432
2019,25-29,760,717,1477
2019,30-34,799,725,1524
2019,35-39,915,825,1740
2019,40-44,927,753,1680
2019,45-49,799,728,1527
2019,50-54,943,882,1825
2019,55-59,1157,1006,2163
2019,60-64,1031,878,1909
2019,65-69,796,749,1545
2019,70-74,468,473,941
2019,75-79,448,536,984
2019,80-84,366,455,821
2019,85-89,217,332,549
2019,90-94,81,126,207
2019,95-99,5,18,23
2019,100+,0,3,3
2020,0-4,370,364,734
2020,5-9,403,375,778
2020,10-14,387,340,727
2020,15-19,535,476,1011
2020,20-24,731,654,1385
2020,25-29,795,687,1482
2020,30-34,776,723,1499
2020,35-39,890,806,1696
2020,40-44,950,795,1745
2020,45-49,782,712,1494
2020,50-54,916,827,1743
2020,55-59,1096,995,2091
2020,60-64,1077,909,1986
2020,65-69,849,789,1638
2020,70-74,512,535,1047
2020,75-79,408,476,884
2020,80-84,368,460,828
2020,85-89,221,335,556
2020,90-94,89,149,238
2020,95-99,12,23,35
2020,100+,0,0,0
2021,0-4,374,351,725
2021,5-9,426,399,825
2021,10-14,354,333,687
2021,15-19,496,452,948
2021,20-24,695,586,1281
2021,25-29,787,724,1511
2021,30-34,806,703,1509
2021,35-39,866,765,1631
2021,40-44,954,842,1796
2021,45-49,764,715,1479
2021,50-54,877,790,1667
2021,55-59,1051,963,2014
2021,60-64,1122,927,2049
2021,65-69,851,816,1667
2021,70-74,590,613,1203
2021,75-79,378,428,806
2021,80-84,368,466,834
2021,85-89,226,342,568
2021,90-94,93,147,240
2021,95-99,18,31,49
2021,100+,0,0,0
2022,0-4,384,366,750
2022,5-9,423,382,805
2022,10-14,355,353,708
2022,15-19,468,411,879
2022,20-24,620,577,1197
2022,25-29,847,679,1526
2022,30-34,765,726,1491
2022,35-39,845,736,1581
2022,40-44,938,838,1776
2022,45-49,800,737,1537
2022,50-54,842,753,1595
2022,55-59,994,949,1943
2022,60-64,1148,971,2119
2022,65-69,892,808,1700
2022,70-74,610,648,1258
2022,75-79,387,411,798
2022,80-84,353,461,814
2022,85-89,235,336,571
2022,90-94,99,175,274
2022,95-99,20,33,53
2022,100+,0,0,0
2023,0-4,413,380,793
2023,5-9,393,374,767
2023,10-14,364,361,725
2023,15-19,470,372,842
2023,20-24,566,556,1122
2023,25-29,810,665,1475
2023,30-34,768,731,1499
2023,35-39,841,747,1588
2023,40-44,922,815,1737
2023,45-49,838,742,1580
2023,50-54,808,736,1544
2023,55-59,949,922,1871
2023,60-64,1141,971,2112
2023,65-69,899,826,1725
2023,70-74,690,683,1373
2023,75-79,375,423,798
2023,80-84,339,449,788
2023,85-89,242,334,576
2023,90-94,100,183,283
2023,95-99,25,39,64
2023,100+,0,0,0
2024,0-4,441,410,851
2024,5-9,388,351,739
2024,10-14,361,378,739
2024,15-19,431,342,773
2024,20-24,556,543,1099
2024,25-29,786,646,1432
2024,30-34,760,717,1477
2024,35-39,799,725,1524
2024,40-44,907,825,1732
2024,45-49,902,753,1655
2024,50-54,774,728,1502
2024,55-59,909,869,1778
2024,60-64,1098,981,2079
2024,65-69,959,850,1809
