area,2018,2019,2020,2021,diff
新竹縣竹北市,41803,42770,44366,45441,3638
新北市林口區,18789,19549,20602,21764,2975
桃園市八德區,29191,29881,30459,30481,1290
臺中市北屯區,40643,41136,41370,41903,1260
新竹市東區,42886,43543,43676,44133,1247
臺南市中西區,10352,10772,11097,11495,1143
高雄市楠梓區,26330,26611,27150,27394,1064
新北市淡水區,20158,20334,20561,20810,652
臺南市善化區,7403,7597,7773,7945,542
彰化縣大村鄉,4190,4146,4124,4643,453
桃園市中壢區,62045,62783,62670,62462,417
宜蘭縣五結鄉,3604,3508,3732,3890,286
高雄市鼓山區,20721,20815,20917,20915,194
臺中市太平區,26866,27093,27145,27055,189
桃園市楊梅區,25768,25978,26024,25941,173
金門縣金寧鄉,2733,2775,2843,2886,153
高雄市仁武區,10931,10901,11072,11064,133
桃園市大園區,13153,13346,13374,13256,103
臺南市新市區,5269,5352,5337,5367,98
花蓮縣鳳林鎮,930,925,985,1004,74
高雄市新興區,5326,5363,5415,5399,73
桃園市復興區,1846,1856,1904,1897,51
高雄市橋頭區,3997,3975,4009,4038,41
屏東縣來義鄉,941,938,956,970,29
臺東縣綠島鄉,399,421,423,419,20
屏東縣崁頂鄉,2790,2734,2746,2795,5
臺中市中區,3265,3260,3245,3269,4
臺中市南屯區,28147,27970,28110,28149,2
屏東縣萬巒鄉,1995,2037,2010,1993,-2
臺東縣蘭嶼鄉,742,766,736,740,-2
連江縣東引鄉,177,181,178,170,-7
基隆市信義區,4856,4914,4809,4847,-9
高雄市那瑪夏區,603,607,599,592,-11
連江縣北竿鄉,257,246,258,246,-11
臺東縣池上鄉,774,764,781,762,-12
花蓮縣卓溪鄉,975,983,973,962,-13
澎湖縣望安鄉,481,477,469,468,-13
屏東縣牡丹鄉,590,580,576,576,-14
臺東縣達仁鄉,376,380,380,362,-14
金門縣烏坵鄉,90,80,79,75,-15
連江縣莒光鄉,124,125,117,105,-19
屏東縣春日鄉,789,776,783,768,-21
花蓮縣豐濱鄉,311,301,286,290,-21
屏東縣三地門鄉,1086,1080,1056,1063,-23
高雄市茂林區,297,290,282,273,-24
高雄市田寮區,386,381,368,361,-25
臺東縣延平鄉,582,536,533,555,-27
澎湖縣七美鄉,407,386,384,380,-27
高雄市茄萣區,2901,2804,2882,2872,-29
臺東縣金峰鄉,573,553,557,544,-29
臺東縣海端鄉,744,733,696,714,-30
屏東縣霧臺鄉,360,340,326,324,-36
連江縣南竿鄉,986,955,974,949,-37
嘉義縣大埔鄉,444,437,422,406,-38
宜蘭縣南澳鄉,1174,1156,1131,1133,-41
臺南市左鎮區,281,293,273,239,-42
新竹縣峨眉鄉,413,405,386,370,-43
屏東縣瑪家鄉,963,942,923,916,-47
高雄市桃源區,673,688,643,625,-48
新北市坪林區,501,468,486,452,-49
澎湖縣白沙鄉,976,949,970,926,-50
新竹縣五峰鄉,631,620,584,580,-51
彰化縣北斗鎮,4555,4516,4466,4503,-52
新北市烏來區,922,918,892,869,-53
臺南市龍崎區,211,209,180,158,-53
屏東縣泰武鄉,902,875,893,848,-54
苗栗縣獅潭鄉,303,266,254,245,-58
臺南市山上區,612,589,546,549,-63
高雄市甲仙區,492,466,444,428,-64
花蓮縣秀林鄉,2626,2607,2560,2562,-64
屏東縣獅子鄉,626,613,594,561,-65
屏東縣麟洛鄉,838,830,788,770,-68
嘉義縣阿里山鄉,742,718,700,671,-71
屏東縣新埤鄉,695,684,644,622,-73
澎湖縣湖西鄉,1439,1349,1354,1366,-73
花蓮縣瑞穗鄉,1082,1061,1025,1008,-74
花蓮縣萬榮鄉,953,935,919,876,-77
臺南市南化區,740,741,722,660,-80
苗栗縣三灣鄉,634,600,579,554,-80
南投縣仁愛鄉,2799,2795,2784,2713,-86
臺東縣大武鄉,655,631,599,569,-86
彰化縣伸港鄉,5350,5266,5254,5263,-87
屏東縣佳冬鄉,1568,1497,1486,1479,-89
新竹縣尖石鄉,1869,1862,1810,1778,-91
臺東縣東河鄉,679,646,630,588,-91
新北市平溪區,293,272,229,199,-94
臺東縣關山鎮,966,940,909,872,-94
澎湖縣西嶼鄉,832,766,755,738,-94
新北市八里區,4515,4437,4513,4420,-95
屏東縣南州鄉,878,847,807,781,-97
屏東縣車城鄉,779,737,714,682,-97
花蓮縣光復鄉,1137,1095,1063,1037,-100
